rule,ticker,entry_year,n,mean,p05,p10,p25,p50,p75,p90,p95,share_below_0.95,share_above_1
section 3 and rule 2 floor,ALL,2015,28,1.0007501866207662,0.9948406892918848,0.9951564447203999,0.9958971767237424,1.0001997977124728,1.0043634976107305,1.0099549911414385,1.013473055177388,0.0,0.5357142857142857
section 3 and rule 2 floor,ALL,2016,16,0.9998762951191538,0.9958492097653142,0.996285017846624,0.9972263716661093,0.9983322804416883,1.0005040487976227,1.0061944463475705,1.0079752567791513,0.0,0.25
section 3 and rule 2 floor,ALL,2017,12,0.9958881806292018,0.9943117325603039,0.9945435233076428,0.9954950984037993,0.99612783895377,0.9963490579885467,0.996464617822069,0.9971409524002366,0.0,0.0
section 3 and rule 2 floor,ALL,2018,16,0.9954925789158953,0.9911596875015976,0.9929592151856974,0.994223284025046,0.9949577559638833,0.9966787990189641,0.998447788580501,0.9998668087248541,0.0,0.0625
section 3 and rule 2 floor,ALL,2019,21,0.9977416824891181,0.9897112137403682,0.9906299414854007,0.9933118227381562,0.9970716311607419,0.9989116236961189,1.0063634960388923,1.008330076680691,0.0,0.23809523809523808
section 3 and rule 2 floor,ALL,2020,39,0.9960631962135744,0.9839609684891235,0.9896484173336875,0.993852608908985,0.9975993361281493,0.9988952745743941,1.002061839049206,1.0030002697118483,0.0,0.15384615384615385
section 3 and rule 2 floor,ALL,2021,39,0.9883281783545357,0.9134586079835336,0.9866400443995713,0.9944201296302457,0.9970989776155181,0.9987963708119124,0.9997689217309587,1.0006025333539044,0.07692307692307693,0.07692307692307693
section 3 and rule 2 floor,ALL,2022,44,0.994434852892184,0.97750252256384,0.982212069785063,0.9927601135883052,0.9980617241724821,0.9993696842241508,1.0006313569154068,1.0017404024020355,0.0,0.1590909090909091
section 3 and rule 2 floor,ALL,2023,37,0.9958685973362752,0.964154975946316,0.979400024870987,0.9972543052278917,0.9989581276303652,1.002214133207398,1.006221010703697,1.0077741844051926,0.02702702702702703,0.43243243243243246
section 3 and rule 2 floor,ALL,2024,46,0.9818525011169627,0.8967168073653655,0.9403697043411874,0.9856718282962088,0.9981393399850342,1.0004171029672273,1.0048613172736156,1.00630123673538,0.10869565217391304,0.2608695652173913
section 3 and rule 2 floor,ALL,2025,25,0.9853315345379877,0.9065218958668125,0.9244939910890477,0.9902220982017521,0.997604563807104,0.9992769269952432,1.0013646605534654,1.0017273544476322,0.16,0.2
section 3 and rule 2 floor,ALL,ALL,547,0.994644511010315,0.9743172576979607,0.9848166033444541,0.993563134695939,0.9977593722180282,1.0006010360507163,1.0064791082350981,1.010388057443146,0.02376599634369287,0.28884826325411334
section 3 and rule 2 floor,GLD,2008,7,0.9877755537095165,0.9836909399567252,0.9842718017757391,0.9857115150020331,0.9869316032244554,0.9902126465821044,0.9919377549483555,0.9922383131922645,0.0,0.0
section 3 and rule 2 floor,GLD,2009,12,0.9868729671653108,0.9794716472904189,0.9836584763248918,0.984262426911839,0.9852333878612108,0.9890785371880676,0.9956275937965159,0.9965124314697001,0.0,0.0
section 3 and rule 2 floor,GLD,2010,12,0.9994429189705389,0.9928620660206249,0.9942025727115776,0.9951583040946602,0.9983144998586035,1.0004635646052882,1.001583357349077,1.01072772098899,0.0,0.3333333333333333
section 3 and rule 2 floor,GLD,2011,12,1.0009024836145828,0.9943105257802174,0.9954135631589176,0.9974571604783695,0.9993826334960306,1.0030282029048303,1.0079754886746426,1.0119833709260964,0.0,0.3333333333333333
section 3 and rule 2 floor,GLD,2012,12,0.996708217211488,0.9893527467314687,0.9925022608877629,0.9952957770178292,0.9964177428838105,0.998034950235346,1.000756324424649,1.0049519240111449,0.0,0.16666666666666666
section 3 and rule 2 floor,GLD,2013,12,0.9990442875174006,0.9952101634719217,0.9955462669816201,0.9959519124768035,0.9989441688418772,1.0003231205349756,1.00388409460018,1.0050548375338626,0.0,0.3333333333333333
section 3 and rule 2 floor,GLD,2014,12,0.9985671556058735,0.9946932890049642,0.9949625278731036,0.9961763726544226,0.9995798365414205,1.0003919988170056,1.0012441178666862,1.0014483836639372,0.0,0.4166666666666667
section 3 and rule 2 floor,GLD,2015,12,0.9973604316862863,0.9950797516446825,0.9953114153978061,0.9956118291633422,0.9963467293529822,0.9997155438465664,1.0002015960603723,1.0003142138301286,0.0,0.25
section 3 and rule 2 floor,GLD,2016,12,0.997705248976097,0.995633030937185,0.9961525502097054,0.9966951829242058,0.9975989330222187,0.9989624999016464,0.9997050900940653,0.9997697132814002,0.0,0.0
section 3 and rule 2 floor,GLD,2017,12,0.9958881806292018,0.9943117325603039,0.9945435233076428,0.9954950984037993,0.99612783895377,0.9963490579885467,0.996464617822069,0.9971409524002366,0.0,0.0
section 3 and rule 2 floor,GLD,2018,12,0.9948629414498161,0.99306220870858,0.9939909788693112,0.994223284025046,0.9945608016101514,0.9954524753418157,0.9961800029918946,0.997039910077092,0.0,0.0
section 3 and rule 2 floor,GLD,2019,12,0.9960021036993548,0.9902165140001361,0.9910798788705386,0.9951886620918104,0.9969315480681407,0.9979932253511556,0.9982755403248057,0.9985719896777022,0.0,0.0
section 3 and rule 2 floor,GLD,2020,12,0.9975726117547378,0.9955185386109924,0.996579858774249,0.9971275707159396,0.997628612176171,0.9979617535164749,0.9986870862921746,0.9995130627947844,0.0,0.08333333333333333
section 3 and rule 2 floor,GLD,2021,12,0.9981108659373804,0.9961193708618119,0.997009854576629,0.9970891916811051,0.9985010491601595,0.9988381656166493,0.9993181051099163,0.9996145956836716,0.0,0.0
section 3 and rule 2 floor,GLD,2022,12,0.9986260996554787,0.9971811311060181,0.9972580224307193,0.997928057097002,0.9987954061682314,0.999302757062889,0.9994184472502194,0.9998656784512633,0.0,0.08333333333333333
section 3 and rule 2 floor,GLD,2023,12,0.9987068329597357,0.9971783902596576,0.9973017243196384,0.9977517870500611,0.9986332596212633,0.9996104730949888,1.0001020312353004,1.0003366193576633,0.0,0.16666666666666666
section 3 and rule 2 floor,GLD,2024,12,1.0005473387959287,0.9937213295999573,0.9957915285673897,0.9981699109635799,0.9997356193495681,1.0047558873889106,1.006290348807851,1.007673659802934,0.0,0.3333333333333333
section 3 and rule 2 floor,GLD,2025,7,0.9992418833341833,0.9965964554253229,0.9974351603594112,0.998840652273873,0.9992769269952432,1.0001242392489897,1.0011887870441698,1.0014587549256244,0.0,0.2857142857142857
section 3 and rule 2 floor,GLD,ALL,206,0.9970493703245459,0.9865154601583453,0.9921549405885921,0.9955337845728965,0.9975507582626199,0.9993221644133754,1.000525807197635,1.0038301321043344,0.0,0.1553398058252427
section 3 and rule 2 floor,SLV,2010,2,1.0074764768048143,1.0074581474855404,1.007460184076571,1.0074662938496621,1.0074764768048143,1.0074866597599663,1.0074927695330578,1.007494806124088,0.0,1.0
section 3 and rule 2 floor,SLV,2011,12,0.9978380556950227,0.9853328247034202,0.9864003871010937,0.9961949233183888,1.0009801867192794,1.0017667585441232,1.0029331979435527,1.0043846665736533,0.0,0.5833333333333334
section 3 and rule 2 floor,SLV,2012,12,0.9971971004808627,0.9924889330544502,0.9927202105530369,0.9941632609048385,0.9967900551263541,0.9988543729297403,1.0029728277228531,1.0038769513298849,0.0,0.25
