rule,ticker,entry_year,never_settles,size_n,size_mean,size_p05,size_p10,size_p25,size_p50,size_p75,size_p90,size_p95,contracts_n,contracts_mean,contracts_p05,contracts_p10,contracts_p25,contracts_p50,contracts_p75,contracts_p90,contracts_p95
section 3,UNG,2014,0,12,12688.443932566355,8802.33775386088,9219.677008463084,10292.514885744835,11963.341166341355,13496.465831853571,16558.092264296996,18638.428670171506,12,545.0833333333334,425.85,430.7,466.25,530.0,602.25,701.4,719.5
section 3,UNG,2015,0,12,7161.26070671796,4508.377733391018,4803.121021708533,5129.625768979184,6209.871040015307,8013.0683852997945,9221.531357119986,12183.278469870118,12,417.1666666666667,301.1,311.5,323.5,354.0,490.0,569.5,656.8999999999999
section 3,UNG,2016,0,12,4674.233378651933,3281.8127147291825,3353.5331085596545,3832.914169499237,4817.841275132664,5371.393974908423,5559.042572704037,6030.5939310214035,12,348.75,257.35,269.9,320.0,342.0,386.25,435.6,437.45
section 3,UNG,2017,0,9,3545.5680844877006,2176.9196196142866,2288.459083418044,2630.2679918953813,3273.406948788383,4120.975190973304,4966.746600268787,5327.6379543535995,9,304.6666666666667,219.2,226.4,264.0,311.0,339.0,390.6,399.8
section 3,UNG,2018,0,12,19193.394369317284,5655.283188121876,5930.550242680494,7534.855121632599,9399.020163953424,14629.182559313662,34813.33065878628,64685.415786956844,12,460.1666666666667,329.0,357.8,392.75,439.5,468.0,585.3000000000001,674.2499999999999
section 3,UNG,2019,0,12,12985.649959888964,6901.249443171527,7138.873548819061,8156.632006674578,10593.239266442528,14196.606505569714,18932.617411179548,25331.71829209788,12,484.0833333333333,353.1,355.6,376.75,453.0,564.5,659.9,703.0999999999999
section 3,UNG,2020,0,12,10881.153270920071,6249.696831770101,6918.309709189362,6978.392397314389,9120.7128238036,13008.741707352874,18437.588248088352,19535.68995279313,12,533.5,355.4,386.90000000000003,480.5,526.0,584.5,607.6,708.3499999999998
section 3,UNG,2021,0,12,15843.204157694561,4137.978046303455,4539.854758335784,5599.205562570618,7456.022253166868,17125.328184993385,35288.3567369684,47808.77400218412,12,620.4166666666666,393.4,398.5,454.75,512.5,660.25,1061.5,1149.8
section 3,UNG,2022,0,12,37714.007785912756,11939.34241077004,13990.20945153413,23643.887614485735,35263.64555055592,49134.46216859161,68843.73443448602,71914.12213237825,12,857.4166666666666,548.15,578.0,707.0,839.0,964.75,1201.0,1219.85
section 3,UNG,2023,0,12,6654.933320813056,4003.6338925293708,4224.9757101945,4941.782399608244,5623.785940571225,7555.243537903956,9819.549279067214,11720.699645364875,12,491.6666666666667,362.55,365.7,426.75,459.5,543.5,659.0,667.5
section 3,UNG,2024,0,12,14728.731540639876,8668.03368718351,10832.175974575483,13812.053849187007,14876.720221313215,15717.599074842443,19392.39439823322,20922.57017218921,12,623.3333333333334,465.9,484.5,505.5,603.5,671.75,823.1,862.65
section 3,UNG,2025,0,7,17699.431872079327,13255.359495720193,13628.22347450906,15360.622260301592,17378.00828749376,19735.993313163897,21627.34292929688,22534.815541248052,7,591.1428571428571,474.9,511.8,561.5,563.0,650.5,678.2,695.5999999999999
section 3,UNG,ALL,0,208,13994.940207615216,3458.7137861623355,4106.823467093652,5754.399373371566,9716.440499728127,16265.050163190821,31956.164467543826,38142.81494206113,208,483.2644230769231,266.05,313.1,362.75,444.0,558.0,708.1000000000001,829.9499999999999
