entry,gated,funds,cumulative,series
2015-11-23,0.11016102262225845,2,9.732018810914077,O1 gate
2015-12-21,0.0,1,9.732018810914077,O1 gate
2016-01-19,0.0,1,9.732018810914077,O1 gate
2016-02-22,0.0,1,9.732018810914077,O1 gate
2016-03-21,0.0,2,9.732018810914077,O1 gate
2016-04-18,0.0,2,9.732018810914077,O1 gate
2016-05-23,0.0,1,9.732018810914077,O1 gate
2016-06-20,0.010302515028247701,2,9.742321325942324,O1 gate
2016-07-18,0.0,2,9.742321325942324,O1 gate
2016-08-22,0.4239255243169965,1,10.16624685025932,O1 gate
2016-09-19,0.11895766975180258,1,10.285204520011122,O1 gate
2016-10-24,0.0,1,10.285204520011122,O1 gate
2016-11-21,0.0,1,10.285204520011122,O1 gate
2016-12-19,0.0,1,10.285204520011122,O1 gate
2017-01-23,0.42884910010849386,1,10.714053620119616,O1 gate
2017-02-21,0.22901484676650447,1,10.943068466886121,O1 gate
2017-03-20,0.0,1,10.943068466886121,O1 gate
2017-04-24,-0.19662083318843973,1,10.74644763369768,O1 gate
2017-05-22,0.0,1,10.74644763369768,O1 gate
2017-06-19,0.1135961079305731,1,10.860043741628253,O1 gate
2017-07-24,0.0,1,10.860043741628253,O1 gate
2017-08-21,0.11490098834031419,1,10.974944729968568,O1 gate
2017-09-18,0.0,1,10.974944729968568,O1 gate
2017-10-23,0.0,1,10.974944729968568,O1 gate
2017-11-20,0.3808561206086199,1,11.355800850577188,O1 gate
2017-12-18,0.0,1,11.355800850577188,O1 gate
2018-01-22,-0.190432320285394,1,11.165368530291794,O1 gate
2018-02-20,0.0,2,11.165368530291794,O1 gate
2018-03-19,-0.3902591741554865,1,10.775109356136307,O1 gate
2018-04-23,0.0,1,10.775109356136307,O1 gate
2018-05-21,0.478896953140568,1,11.254006309276875,O1 gate
2018-06-18,0.009909477368726268,1,11.263915786645601,O1 gate
2018-07-23,0.04376833420980124,1,11.307684120855402,O1 gate
2018-08-20,0.0,1,11.307684120855402,O1 gate
2018-09-24,0.0,1,11.307684120855402,O1 gate
2018-10-22,-0.8291177385945787,2,10.478566382260823,O1 gate
2018-11-19,0.0896178438297601,2,10.568184226090583,O1 gate
2018-12-24,0.36969634009511027,2,10.937880566185694,O1 gate
2019-01-22,0.0,2,10.937880566185694,O1 gate
2019-02-19,0.0,1,10.937880566185694,O1 gate
2019-03-18,0.0,1,10.937880566185694,O1 gate
2019-04-22,0.0,1,10.937880566185694,O1 gate
2019-05-20,-0.7823623118175199,1,10.155518254368173,O1 gate
2019-06-24,-0.058307717996804474,3,10.09721053637137,O1 gate
2019-07-22,0.0,1,10.09721053637137,O1 gate
2019-08-19,0.08159033354870286,2,10.178800869920073,O1 gate
2019-09-23,0.11816747262492062,3,10.296968342544993,O1 gate
2019-10-21,0.0,1,10.296968342544993,O1 gate
2019-11-18,0.13401030679805842,3,10.430978649343052,O1 gate
2019-12-23,0.16684459871030208,2,10.597823248053354,O1 gate
2020-01-21,0.0,1,10.597823248053354,O1 gate
2020-02-24,-2.4639914766701305,1,8.133831771383223,O1 gate
2020-03-23,0.3623192256237839,3,8.496150997007007,O1 gate
2020-04-20,0.0,3,8.496150997007007,O1 gate
2020-05-18,0.24480371849561,4,8.740954715502617,O1 gate
2020-06-22,0.45393230217238295,4,9.194887017675,O1 gate
2020-07-20,-1.4778960079900154,4,7.716991009684985,O1 gate
2020-08-24,-0.0881177271102094,4,7.628873282574776,O1 gate
2020-09-21,0.07913251460646968,4,7.7080057971812455,O1 gate
2020-10-19,0.049143052542107754,4,7.757148849723353,O1 gate
2020-11-23,0.0,3,7.757148849723353,O1 gate
2020-12-21,0.2072658315723076,3,7.96441468129566,O1 gate
2021-01-19,0.08671983404093782,3,8.051134515336598,O1 gate
2021-02-22,0.0016897135919041923,3,8.052824228928502,O1 gate
2021-03-22,0.17155742412803923,3,8.224381653056541,O1 gate
2021-04-19,0.10447125004710733,3,8.328852903103648,O1 gate
2021-05-24,0.11805191910808881,3,8.446904822211737,O1 gate
2021-06-21,0.3967825940224676,3,8.843687416234204,O1 gate
2021-07-19,0.35545869657685175,3,9.199146112811055,O1 gate
2021-08-23,0.0,3,9.199146112811055,O1 gate
2021-09-20,-0.004220046316591022,4,9.194926066494464,O1 gate
2021-10-18,0.2899630013412471,4,9.484889067835711,O1 gate
2021-11-22,-0.11072827311351745,3,9.374160794722194,O1 gate
2021-12-20,0.1820257555933974,4,9.55618655031559,O1 gate
2022-01-24,0.24572243545852512,4,9.801908985774116,O1 gate
2022-02-22,-0.4489543636197944,4,9.352954622154321,O1 gate
