sample,arm,rule,ticker,year,n,mean,p05,p10,p25,p50,p75,p90,p95,mean_cost_k0,median_cost_k0,mean_cost_k0.25,median_cost_k0.25,mean_cost_k0.5,median_cost_k0.5,mean_cost_k0.75,median_cost_k0.75,mean_cost_k1,median_cost_k1
estimation,strip,section 3,USO,2021,12,0.07547688493295246,0.03504649307371799,0.038455020367459056,0.04387350623878475,0.058214698417931095,0.0742331422321883,0.0900231169539059,0.16876023035539017,0.0,0.0,0.018869221233238115,0.014553674604482774,0.03773844246647623,0.029107349208965547,0.056607663699714345,0.04366102381344832,0.07547688493295246,0.058214698417931095
estimation,strip,section 3,USO,ALL,176,0.05565759413348117,0.023412011006070498,0.026671633100438748,0.0351113675584138,0.05003029349324141,0.06404147845822838,0.09148561146004253,0.11616830788407842,0.0,0.0,0.013914398533370292,0.012507573373310352,0.027828797066740584,0.025015146746620705,0.041743195600110874,0.03752272011993106,0.05565759413348117,0.05003029349324141
estimation,strip,section 3 and rule 2 floor,ALL,2007,8,0.11297395930674385,0.07714547961968497,0.07881731890997157,0.09505433082372222,0.11630920448436943,0.13181077612928263,0.14050552382813739,0.14438123260747404,0.0,0.0,0.028243489826685963,0.029077301121092358,0.056486979653371926,0.058154602242184716,0.08473046948005789,0.08723190336327707,0.11297395930674385,0.11630920448436943
estimation,strip,section 3 and rule 2 floor,ALL,2008,23,0.06864118360325641,0.043702612840613095,0.04682964472383139,0.05508597377735004,0.0649545245253124,0.08351030615210125,0.08957980622785569,0.08989226553319947,0.0,0.0,0.017160295900814103,0.0162386311313281,0.034320591801628206,0.0324772622626562,0.05148088770244231,0.0487158933939843,0.06864118360325641,0.0649545245253124
estimation,strip,section 3 and rule 2 floor,ALL,2009,24,0.061387448758114395,0.028739495149261687,0.03614857577513101,0.057805784479250034,0.06134038419857422,0.06893351531664414,0.07639840634897092,0.07939468889308787,0.0,0.0,0.015346862189528599,0.015335096049643554,0.030693724379057197,0.03067019209928711,0.0460405865685858,0.046005288148930665,0.061387448758114395,0.06134038419857422
estimation,strip,section 3 and rule 2 floor,ALL,2010,24,0.031548487296882546,0.020524898126704837,0.023273417809399267,0.026171333602848332,0.028277695585000418,0.035640976721240426,0.04195198016823634,0.047714109022875296,0.0,0.0,0.007887121824220637,0.0070694238962501045,0.015774243648441273,0.014138847792500209,0.02366136547266191,0.021208271688750314,0.031548487296882546,0.028277695585000418
estimation,strip,section 3 and rule 2 floor,ALL,2011,36,0.02842060966051881,0.014137184442415823,0.017641970776979165,0.019553033114694755,0.024377591963123585,0.029495629462441303,0.04427540940267916,0.05467217598581803,0.0,0.0,0.007105152415129702,0.006094397990780896,0.014210304830259405,0.012188795981561792,0.021315457245389108,0.01828319397234269,0.02842060966051881,0.024377591963123585
estimation,strip,section 3 and rule 2 floor,ALL,2012,38,0.03537113891702579,0.019929522538777233,0.021597365826022077,0.027398641766075503,0.033630846358988456,0.040652297717591435,0.05109304475447337,0.059703156913796775,0.0,0.0,0.008842784729256448,0.008407711589747114,0.017685569458512896,0.016815423179494228,0.026528354187769346,0.025223134769241342,0.03537113891702579,0.033630846358988456
estimation,strip,section 3 and rule 2 floor,ALL,2013,33,0.03824197094141078,0.018822610878424073,0.019371318193240658,0.02762255058584717,0.035416698510274174,0.04426479059314063,0.06143817472630617,0.06738513659452805,0.0,0.0,0.009560492735352696,0.008854174627568543,0.01912098547070539,0.017708349255137087,0.028681478206058087,0.02656252388270563,0.03824197094141078,0.035416698510274174
estimation,strip,section 3 and rule 2 floor,ALL,2014,38,0.05907588368418771,0.020009899195384463,0.02301513436503623,0.03320066169471466,0.055094215824357626,0.07434056089221472,0.1055899811460611,0.11736205054936497,0.0,0.0,0.014768970921046927,0.013773553956089406,0.029537941842093855,0.027547107912178813,0.044306912763140784,0.041320661868268216,0.05907588368418771,0.055094215824357626
