ticker,bucket,cycle_day,mid,unclassified,zero bid,carried,leg_days,share_mid,share_zero_bid,share_carried,share_unclassified
GLD,0 to 1,11,1937,1,14,0,1952,0.9923155737704918,0.007172131147540984,0.0,0.0005122950819672131
GLD,0 to 1,12,1931,1,20,0,1952,0.9892418032786885,0.010245901639344262,0.0,0.0005122950819672131
GLD,0 to 1,13,1925,2,25,0,1952,0.9861680327868853,0.012807377049180328,0.0,0.0010245901639344263
GLD,0 to 1,14,1906,0,46,0,1952,0.9764344262295082,0.0235655737704918,0.0,0.0
GLD,0 to 1,15,1839,3,110,0,1952,0.9421106557377049,0.05635245901639344,0.0,0.0015368852459016393
GLD,0 to 1,16,1755,1,187,0,1943,0.903242408646423,0.09624292331446217,0.0,0.000514668039114771
GLD,0 to 1,17,1544,4,306,0,1854,0.8327939590075513,0.1650485436893204,0.0,0.002157497303128371
GLD,0 to 1,18,1016,16,214,0,1246,0.8154093097913323,0.17174959871589085,0.0,0.012841091492776886
GLD,0 to 1,19,639,0,61,0,700,0.9128571428571428,0.08714285714285715,0.0,0.0
GLD,0 to 1,20,587,1,112,0,700,0.8385714285714285,0.16,0.0,0.0014285714285714286
GLD,0 to 1,21,488,0,158,0,646,0.7554179566563467,0.24458204334365324,0.0,0.0
GLD,0 to 1,22,345,1,160,0,506,0.6818181818181818,0.31620553359683795,0.0,0.001976284584980237
GLD,0 to 1,23,151,0,116,0,267,0.5655430711610487,0.4344569288389513,0.0,0.0
GLD,1 to 2,0,1730,0,0,0,1730,1.0,0.0,0.0,0.0
GLD,1 to 2,1,1728,1,1,0,1730,0.9988439306358381,0.0005780346820809249,0.0,0.0005780346820809249
GLD,1 to 2,2,1724,0,6,0,1730,0.9965317919075144,0.003468208092485549,0.0,0.0
GLD,1 to 2,3,1725,0,5,0,1730,0.9971098265895953,0.002890173410404624,0.0,0.0
GLD,1 to 2,4,1724,0,6,0,1730,0.9965317919075144,0.003468208092485549,0.0,0.0
GLD,1 to 2,5,1720,0,10,0,1730,0.9942196531791907,0.005780346820809248,0.0,0.0
GLD,1 to 2,6,1714,0,16,0,1730,0.9907514450867052,0.009248554913294798,0.0,0.0
GLD,1 to 2,7,1705,1,24,0,1730,0.9855491329479769,0.013872832369942197,0.0,0.0005780346820809249
GLD,1 to 2,8,1691,0,39,0,1730,0.977456647398844,0.02254335260115607,0.0,0.0
GLD,1 to 2,9,1681,0,49,0,1730,0.9716763005780347,0.028323699421965318,0.0,0.0
GLD,1 to 2,10,1655,0,75,0,1730,0.9566473988439307,0.04335260115606936,0.0,0.0
GLD,1 to 2,11,1627,0,103,0,1730,0.9404624277456647,0.05953757225433526,0.0,0.0
GLD,1 to 2,12,1574,1,155,0,1730,0.9098265895953758,0.08959537572254335,0.0,0.0005780346820809249
GLD,1 to 2,13,1528,1,201,0,1730,0.8832369942196532,0.1161849710982659,0.0,0.0005780346820809249
GLD,1 to 2,14,1384,2,344,0,1730,0.8,0.19884393063583816,0.0,0.0011560693641618498
GLD,1 to 2,15,1233,2,495,0,1730,0.7127167630057804,0.2861271676300578,0.0,0.0011560693641618498
GLD,1 to 2,16,1003,9,709,0,1721,0.5828006972690296,0.41196978500871584,0.0,0.005229517722254503
GLD,1 to 2,17,833,2,803,0,1638,0.5085470085470085,0.4902319902319902,0.0,0.001221001221001221
GLD,1 to 2,18,578,0,517,0,1095,0.5278538812785388,0.47214611872146117,0.0,0.0
GLD,1 to 2,19,394,3,215,0,612,0.6437908496732027,0.35130718954248363,0.0,0.004901960784313725
GLD,1 to 2,20,321,0,291,0,612,0.5245098039215687,0.47549019607843135,0.0,0.0
GLD,1 to 2,21,242,3,319,0,564,0.42907801418439717,0.5656028368794326,0.0,0.005319148936170213
GLD,1 to 2,22,133,1,311,0,445,0.298876404494382,0.698876404494382,0.0,0.0022471910112359553
GLD,1 to 2,23,74,0,162,0,236,0.3135593220338983,0.6864406779661016,0.0,0.0
GLD,2 to 3,0,1382,0,0,0,1382,1.0,0.0,0.0,0.0
GLD,2 to 3,1,1357,0,25,0,1382,0.9819102749638206,0.01808972503617945,0.0,0.0
GLD,2 to 3,2,1342,0,40,0,1382,0.9710564399421129,0.02894356005788712,0.0,0.0
GLD,2 to 3,3,1341,0,41,0,1382,0.9703328509406657,0.029667149059334298,0.0,0.0
GLD,2 to 3,4,1325,0,57,0,1382,0.9587554269175108,0.04124457308248915,0.0,0.0
GLD,2 to 3,5,1302,0,80,0,1382,0.9421128798842258,0.05788712011577424,0.0,0.0
GLD,2 to 3,6,1267,0,115,0,1382,0.9167872648335745,0.08321273516642547,0.0,0.0
GLD,2 to 3,7,1231,0,151,0,1382,0.8907380607814761,0.10926193921852388,0.0,0.0
GLD,2 to 3,8,1185,0,197,0,1382,0.8574529667149059,0.14254703328509408,0.0,0.0
GLD,2 to 3,9,1127,2,253,0,1382,0.8154848046309696,0.18306801736613604,0.0,0.001447178002894356
GLD,2 to 3,10,1033,9,340,0,1382,0.7474674384949349,0.2460202604920405,0.0,0.006512301013024602
GLD,2 to 3,11,973,0,409,0,1382,0.7040520984081042,0.2959479015918958,0.0,0.0
GLD,2 to 3,12,891,1,490,0,1382,0.6447178002894356,0.3545586107091172,0.0,0.000723589001447178
GLD,2 to 3,13,781,8,593,0,1382,0.565123010130246,0.42908827785817655,0.0,0.005788712011577424
GLD,2 to 3,14,633,2,747,0,1382,0.45803183791606367,0.540520984081042,0.0,0.001447178002894356
GLD,2 to 3,15,499,1,882,0,1382,0.36107091172214184,0.638205499276411,0.0,0.000723589001447178
GLD,2 to 3,16,402,3,968,0,1373,0.29278951201748,0.7050254916241806,0.0,0.0021849963583394027
GLD,2 to 3,17,315,0,982,0,1297,0.24286815728604472,0.7571318427139553,0.0,0.0
GLD,2 to 3,18,206,2,632,0,840,0.24523809523809523,0.7523809523809524,0.0,0.002380952380952381
GLD,2 to 3,19,146,1,330,0,477,0.3060796645702306,0.6918238993710691,0.0,0.0020964360587002098
GLD,2 to 3,20,127,1,349,0,477,0.2662473794549266,0.7316561844863732,0.0,0.0020964360587002098
GLD,2 to 3,21,79,2,360,0,441,0.17913832199546487,0.8163265306122449,0.0,0.0045351473922902496
GLD,2 to 3,22,59,0,288,0,347,0.17002881844380405,0.829971181556196,0.0,0.0
GLD,2 to 3,23,32,0,131,0,163,0.19631901840490798,0.803680981595092,0.0,0.0
GLD,3 up,0,2063,0,0,0,2063,1.0,0.0,0.0,0.0
GLD,3 up,1,1789,1,273,0,2063,0.8671837130392632,0.13233155598642754,0.0,0.0004847309743092584
GLD,3 up,2,1698,1,364,0,2063,0.8230731943771207,0.17644207464857004,0.0,0.0004847309743092584
GLD,3 up,3,1539,0,524,0,2063,0.7460009694619486,0.2539990305380514,0.0,0.0
GLD,3 up,4,1445,2,616,0,2063,0.7004362578768784,0.2985942801745031,0.0,0.0009694619486185168
GLD,3 up,5,1311,5,747,0,2063,0.6354823073194377,0.362094037809016,0.0,0.0024236548715462916
GLD,3 up,6,1231,3,829,0,2063,0.596703829374697,0.4018419777023752,0.0,0.001454192922927775
GLD,3 up,7,1095,2,966,0,2063,0.5307804168686379,0.46825012118274356,0.0,0.0009694619486185168
GLD,3 up,8,986,10,1067,0,2063,0.4779447406689287,0.5172079495879787,0.0,0.004847309743092583
GLD,3 up,9,839,8,1216,0,2063,0.4066892874454678,0.5894328647600582,0.0,0.003877847794474067
GLD,3 up,10,701,10,1352,0,2063,0.3397964129907901,0.6553562772661173,0.0,0.004847309743092583
GLD,3 up,11,644,8,1411,0,2063,0.3121667474551624,0.6839554047503635,0.0,0.003877847794474067
GLD,3 up,12,512,5,1546,0,2063,0.2481822588463403,0.7493940862821135,0.0,0.0024236548715462916
GLD,3 up,13,451,3,1609,0,2063,0.21861366941347551,0.7799321376635967,0.0,0.001454192922927775
